CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
20-01-0323-46,20-024,CHIQUIMULA,CHIQUIMULA,"LICEO TEC, TECNOLÓGICO, EXPERIMENTAL Y CIENTÍFICO",CALZADA HÉCTOR AUGUSTO ESPAÑA BRACAMONTE LOTE # 25 ZONA 2,58123452,SILVIA MARILENA BUEZO MARTINEZ,LOURDES BEATRIZ ORTEGA GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA
20-01-0324-46,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO DIVINA MISERICORDIA,"6TA. CALLE PONIENTE ZONA 4, BARRIO EL MOLINO",55974817,SILVIA MARILENA BUEZO MARTINEZ,FRANCISCA LINARES RIVERA DE SOSA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0325-46,20-024,CHIQUIMULA,CHIQUIMULA,LICEO TECNOLÓGICO BILINGÜE CHIQUIMULTECO,6A. CALLE 5-20 ZONA 1,79424323,SILVIA MARILENA BUEZO MARTINEZ,EDNA GRACIELA PINTO DE ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0326-46,20-001,CHIQUIMULA,CHIQUIMULA,ESCUELA NORMAL INTERCULTURAL,10 AVENIDA 3-71 ZONA 1,79427427,CESAR ADALBERTO NOGUERA JACOME,KAREN JULISSA MIRANDA VILLELA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0327-46,20-001,CHIQUIMULA,CHIQUIMULA,INSTITUTO NORMAL PARA VARONES DE ORIENTE,6A. AVENIDA 4-10 ZONA 1,42102776,CESAR ADALBERTO NOGUERA JACOME,BALVINO CHACÓN PÉREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA
20-01-0465-46,20-027,CHIQUIMULA,CHIQUIMULA,INSTITUTO DE BACHILLERATO POR MADUREZ SUPERACIÓN,2A. CALLE 4-40 ZONA 1,79427446,SILVIA MARILENA BUEZO MARTINEZ,OSCAR LEONEL PAIZ DEL CID,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-1308-46,20-024,CHIQUIMULA,CHIQUIMULA,COMPLEJO EDUCATIVO EXPERIMENTAL DE ORIENTE ATULAPA,KM. 172 CARRETERA A ESQUIPULAS,79420613,SILVIA MARILENA BUEZO MARTINEZ,,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-1545-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO EVANGELICO MIXTO ADONAI,8A. AVENIDA 4-40 ZONA 1,24705632,SILVIA MARILENA BUEZO MARTINEZ,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-1613-46,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO SUPERIOR DE INFORMATICA HIGA,1A. CALLE 5-61 ZONA 2,44043628,SILVIA MARILENA BUEZO MARTINEZ,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-1615-46,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO SUPERIOR DE INFORMATICA HIGA,1A. CALLE 5-61 ZONA 2,44043628,SILVIA MARILENA BUEZO MARTINEZ,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-1661-46,,CHIQUIMULA,CHIQUIMULA,ESCUELA SECUNDARIA DE ORIENTE 'ESDEO',2A. CALLE 4-40 ZONA 1,79420290,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIQUIMULA
20-01-1749-46,25-000,CHIQUIMULA,CHIQUIMULA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),CHIQUIMULA,,SONIA HAYDEE REYES MONTERROSO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,CHIQUIMULA
20-01-1846-46,20-001,CHIQUIMULA,CHIQUIMULA,ESCUELA NORMAL INTERCULTURAL,10A. AVENIDA 3-71 ZONA 1,79427427,CESAR ADALBERTO NOGUERA JACOME,KAREN JULISSA MIRANDA VILLELA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA
20-01-1886-46,20-027,CHIQUIMULA,CHIQUIMULA,LICEO 'JUVENIL',"4A, CALLE 3-50 ZONA 1",79420062,SILVIA MARILENA BUEZO MARTINEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-2089-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO EVANGELICO MIXTO ADONAI,8A. AVENIDA 4-40 ZONA 1,79424111,SILVIA MARILENA BUEZO MARTINEZ,MIRIAM ANDREA VILLEDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-2349-46,20-027,CHIQUIMULA,CHIQUIMULA,LICEO TECNOCIENCIA BILINGUE DE CHIQUIMULA,4A. CALLE 9-30 ZONA 1,59352245-79438029,SILVIA MARILENA BUEZO MARTINEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-2351-46,20-027,CHIQUIMULA,CHIQUIMULA,LICEO TECNOCIENCIA BILINGUE DE CHIQUIMULA,4A. CALLE 9-30 ZONA 1,79438419,SILVIA MARILENA BUEZO MARTINEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-2352-46,20-027,CHIQUIMULA,CHIQUIMULA,LICEO TECNOCIENCIA BILINGUE DE CHIQUIMULA,4A. CALLE 9-30 ZONA 1,59352245-79438029,SILVIA MARILENA BUEZO MARTINEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-2353-46,20-027,CHIQUIMULA,CHIQUIMULA,LICEO TECNOCIENCIA BILINGUE DE CHIQUIMULA,4A. CALLE 9-30 ZONA 1,79438419,SILVIA MARILENA BUEZO MARTINEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-2367-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO ADVENTISTA AMANECER,4A. CALLE 9-81 ZONA 1,79423112,SILVIA MARILENA BUEZO MARTINEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-02-0006-46,20-039,CHIQUIMULA,SAN JOSE LA ARADA,COLEGIO PRIVADO MIXTO JOSEFINO,BARRIO NUEVO,79437285,EDGAR ANIBAL MENENDEZ VELASQUEZ,HEBER MERARY ECHEVERRIA CASTAÑEDA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-02-0010-46,20-034,CHIQUIMULA,SAN JOSE LA ARADA,INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,COLONIA LAS BRISAS,30576312,BYRON HORACIO SARCEÑO ZEPEDA,EDVIN JAVIER ESPAÑA CHACÓN,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-02-0012-46,20-030,CHIQUIMULA,SAN JOSE LA ARADA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- FUNCAFE,ALDEA SASPÁN,42580713,VILMA ESPERANZA LOPEZ INTERIANO,KATHLEEN GUEYLIN SAGASTUME GUERRA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-02-2172-46,20-002,CHIQUIMULA,SAN JOSE LA ARADA,COLEGIO PRIVADO MIXTO JOSEFINO,BARRIO NUEVO SAN JOSE LA ARADA,79437285,JUAN ABEL MORAN SOSA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-03-0001-46,20-003,CHIQUIMULA,SAN JUAN ERMITA,INSTITUTO DIVERSIFICADO MUNICIPAL DE SAN JUAN ERMITA,BARRIO SAN PEDRITO,51989697,BLANCA ROSA MORALES DE GUTIERREZ,HENRY ARTURO JORDÁN GUERRA,DIVERSIFICADO,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-03-0035-46,20-030,CHIQUIMULA,SAN JUAN ERMITA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- FUNCAFE,ALDEA CHISPÁN JARAL,33874323,VILMA ESPERANZA LOPEZ INTERIANO,EDRAS JEREMÍAS GUERRA ALONZO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-03-0073-46,20-003,CHIQUIMULA,SAN JUAN ERMITA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,BARRIO SAN PEDRITO,50325750,BLANCA ROSA MORALES DE GUTIERREZ,ELDER ESAÚ ALONZO GONZÁLEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0065-46,20-004,CHIQUIMULA,JOCOTAN,COLEGIO CENTRO CULTURAL CAMPO REAL,BARRIO SAN LORENZO,79465751,SERGIO ESTUARDO MEDINA GUDIEL,GLORIA ESTELA GUERRA GUTIERREZ DE LEMUS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0073-46,20-004,CHIQUIMULA,JOCOTAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO SAN SEBASTIAN,,SERGIO ESTUARDO MEDINA GUDIEL,---,DIVERSIFICADO,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0097-46,20-004,CHIQUIMULA,JOCOTAN,INSTITUTO TECNOLÓGICO OFICIAL DE LA MANCOMUNIDAD CH´ORTI´,BARRIO SAN LORENZO,79465395,SERGIO ESTUARDO MEDINA GUDIEL,VILMA MARICELA MARCOS GARCÍA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0100-46,20-004,CHIQUIMULA,JOCOTAN,COLEGIO MIXTO DIVERSIFICADO,"CASERÍO PINALITO, ALDEA SUCHIQUER",,SERGIO ESTUARDO MEDINA GUDIEL,BYRON ADOLFO MENDEZ GARCIA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0104-46,20-043,CHIQUIMULA,JOCOTAN,COLEGIO PRIVADO MIXTO POR MADUREZ VISION 2008,BARRIO SAN SEBASTIAN,79465220,DANY FRANCISCO PALMA CARTAGENA,JORGE ALBERTO MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-04-0105-46,20-043,CHIQUIMULA,JOCOTAN,COLEGIO PRIVADO MIXTO POR MADUREZ VISION 2008,BARRIO SAN SEBASTIAN,79462520,DANY FRANCISCO PALMA CARTAGENA,MARIA DALILA AGUSTIN GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0110-46,20-004,CHIQUIMULA,JOCOTAN,CENTRO EDUCATIVO JOCOTECO BILINGÜE,BARRIO EL CEMENTERIO,47894195,SERGIO ESTUARDO MEDINA GUDIEL,SINDY ZULEMA PELÁEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0131-46,20-004,CHIQUIMULA,JOCOTAN,COLEGIO CENTRO CULTURAL CAMPO REAL,BARRIO SAN LORENZO,79465751,SERGIO ESTUARDO MEDINA GUDIEL,GLORIA ESTELA GUERRA GUTIÉRREZ DE LEMUS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA
20-04-0132-46,20-042,CHIQUIMULA,JOCOTAN,INSTITUTO PRIVADO MIXTO DE EDUCACIÓN BÁSICA CON ORIENTACIÓN OCUPACIONAL FE Y ALEGRÍA NO. 10 SANTA MARÍA,BARRIO SAN SEBASTIÁN,79465237,FRANCISCO JAVIER GUERRA PAZOS,VIVECA ELEONORA MONROY ALVAREZ DE CARRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0134-46,20-004,CHIQUIMULA,JOCOTAN,COLEGIO CENTRO CULTURAL CAMPO REAL,BARRIO SAN LORENZO,79465751,SERGIO ESTUARDO MEDINA GUDIEL,GLORIA ESTELA GUERRA GUTIÉRREZ DE LEMUS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-04-0136-46,20-004,CHIQUIMULA,JOCOTAN,COLEGIO PRIVADO EL OLAM,BARRIO EL CEMENTERIO,79465453,SERGIO ESTUARDO MEDINA GUDIEL,LINDAYK GICELENA CASTELLÓN NUFIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0137-46,20-030,CHIQUIMULA,JOCOTAN,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- FUNCAFE,"CASERÍO TIERRA BLANCA, ALDEA LOS VADOS",33874323,VILMA ESPERANZA LOPEZ INTERIANO,NOHEMÍ ELIZABETH GARCÍA GUZMÁN,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-04-0197-46,20-043,CHIQUIMULA,JOCOTAN,LICEO VICENTE CARRANZA LEMUS,BARRIO SAN SEBASTIÁN BOULEVARD AL MAESTRO,79465387,DANY FRANCISCO PALMA CARTAGENA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0210-46,20-030,CHIQUIMULA,JOCOTAN,"CENTRO DE EDUCACIÓN EXTRAESCOLAR, MUNICIPAL, -CEEX-",ALDEA MATAZANO,33360297,VILMA ESPERANZA LOPEZ INTERIANO,LUZ AMANDA RAMÍREZ RAMÍREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIQUIMULA
20-04-0211-46,20-030,CHIQUIMULA,JOCOTAN,"CENTRO DE EDUCACIÓN EXTRAESCOLAR, MUNICIPAL -CEEX-",ALDEA GUARERUCHE,47828101,VILMA ESPERANZA LOPEZ INTERIANO,MARÍA VICTORIA GERÓNIMO ESCALANTE DE MÉNDEZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIQUIMULA
20-04-0212-46,20-030,CHIQUIMULA,JOCOTAN,"CENTRO DE EDUCACIÓN EXTRAESCOLAR, MUNICIPAL -CEEX-",ALDEA TONTOLES,38542069,VILMA ESPERANZA LOPEZ INTERIANO,ANGELICA LUCIA MÉNDEZ ESQUIVEL,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIQUIMULA
20-04-0213-46,20-030,CHIQUIMULA,JOCOTAN,"CENTRO DE EDUCACIÓN EXTRAESCOLAR, MUNICIPAL, -CEEX-","CASERÍO MAGUEYAL, ALDEA PACRÉN",45421031,VILMA ESPERANZA LOPEZ INTERIANO,WENDY DÍAZ PÉREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIQUIMULA
20-04-0256-46,20-004,CHIQUIMULA,JOCOTAN,COLEGIO CENTRO CULTURAL CAMPO REAL,BARRIO SAN LORENZO,79465751,SERGIO ESTUARDO MEDINA GUDIEL,GLORIA ESTELA GUERRA GUTIÉRREZ DE LEMUS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),CHIQUIMULA
20-04-0258-46,20-043,CHIQUIMULA,JOCOTAN,COLEGIO PRIVADO MIXTO POR MADUREZ VISION 2008,BARRIO SAN SEBASTIÁN,79465220,DANY FRANCISCO PALMA CARTAGENA,JORGE ALBERTO MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),CHIQUIMULA
20-04-0261-46,20-030,CHIQUIMULA,JOCOTAN,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX PRONEA ASORO-,BARRIO SAN SEBASTIÁN,56980041,VILMA ESPERANZA LOPEZ INTERIANO,PAULA KAROLINA LÓPEZ RAMÍREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,SEMIPRESENCIAL,CHIQUIMULA
20-04-0566-46,20-004,CHIQUIMULA,JOCOTAN,INSTITUTO DIVERSIFICADO POR COOPERATIVA DE CIENCIAS COMERCIALES CON ORIENT. EN COMPUTACION,BARRIO SAN LORENZO,,SERGIO ESTUARDO MEDINA GUDIEL,-,DIVERSIFICADO,COOPERATIVA,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-2036-46,20-042,CHIQUIMULA,JOCOTAN,"INSTITUTO TÉCNICO EN RECURSOS NATURALES MAYA CH'ORTI' ""INTERNMACH""",CASERÍO TIERRA BLANCA ALDEA LOS VADOS,32135589,FRANCISCO JAVIER GUERRA PAZOS,ALBA MELINA HERNÁNDEZ IXCOY,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA
20-04-2267-46,20-043,CHIQUIMULA,JOCOTAN,"ESCUELA NORMAL RURAL NO. 3 ""RAFAEL IRIARTE""",BARRIO SAN LORENZO,79465228,DANY FRANCISCO PALMA CARTAGENA,FIDELINO HUALES SÚCHITE,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-05-0087-46,20-021,CHIQUIMULA,CAMOTAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA MUYURCO,,ROSARIO RIVAS VILLAFUERTE,---,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-05-0088-46,20-017,CHIQUIMULA,CAMOTAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO EL CEMENTERIO,,ROSARIO RIVAS VILLAFUERTE,---,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-05-0089-46,20-017,CHIQUIMULA,CAMOTAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"CASERIO TIZAMARTE, ALDEA EL TESORO",,ROSARIO RIVAS VILLAFUERTE,---,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-05-0466-46,20-017,CHIQUIMULA,CAMOTAN,INST. PRIV. MIXTO DE EDUC. DIVERSIFICADA ESCUELA DE CIENCIAS COMERCIALES,--,,ROSARIO RIVAS VILLAFUERTE,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
